id	generation	parent1	parent2	[in] input00	[in] input01	[in] input02	[in] input03	[in] input04	[in] input05	[in] input06	[in] input07	[in] input08	[in] input09	[in] input10	[in] input11	[in] input12	[in] input13	[in] input14	[in] input15	[in] input16	[in] input17	[in] input18	[in] input19	[in] input20	[min] weight	[max] powerOutput
0	0	None	None	19.6919090768	9.10035843806	9.9631208813	1.82052392384	3.05594268393	0.714013947098	0.250708306344	3.03178591352	3.91168218228	2.21089525356	2.62320004281	11.218895356	15.3548174979	0.478310778961	0.0186558460933	2.0451107487	7.00835056482	27.5697009429	7.83531435497	21.1522393603	29.93129541	203995.44405
1	0	None	None	17.997420255	7.93323453277	9.96869198328	1.94546999846	1.49679710915	0.493871407404	0.146517226599	2.68648683892	2.22654130421	3.36199921759	5.63319339711	18.6043963131	11.3091341144	1.36904486697	1.11639747	4.68560050844	5.84190359272	18.4375416785	25.3996640063	10.1659987064	20.340381404	141685905.293	234891.680439
2	0	None	None	15.351688535	7.93192974542	8.31162746163	1.50271785756	1.11937225076	0.331242208167	0.71510418816	4.68029077861	2.69913695791	5.95958919584	3.87509295547	15.2372993609	18.3681053717	0.671316964739	1.46501936338	4.9087707476	7.62484527849	6.12380700013	24.3293354721	29.5479933347	7.27285152328	234969.167741
3	0	None	None	17.1750952156	9.20592267014	9.58840930864	1.25807415899	1.41766190307	0.422268942726	0.951482234546	4.1195783532	4.05596339232	5.90246785828	3.69505767902	12.8036648792	12.8516447245	1.11013218605	0.377587722038	3.00816685099	7.2873205442	12.6668820652	21.7577049894	4.1522213067	10.4731400376	5515022.8054	230517.009425
4	0	None	None	11.4951056298	7.59742182282	9.30384747369	3.13288544102	3.55881274573	0.32446707854	0.845611925011	3.07584738104	4.85036173981	4.19440751891	2.94968096594	13.7983628437	10.9579750449	0.733595150262	0.780330301404	3.39518437419	7.0951801861	28.8017722827	25.714295675	23.8124809619	15.7295045423	7202261.65734	212128.743616
5	0	None	None	18.253360003	6.57697576346	7.65049947351	1.08014169862	2.80484610942	0.731763561352	0.188590474284	2.27023684926	4.08338965868	4.91614986692	6.77437456082	19.9589457533	14.8447469078	0.584232319521	0.781218475529	1.93534822857	7.15345570338	0.56438263509	0.338077272656	1.51797333116	6.01898278844	116284859.818	238118.339364
6	0	None	None	16.4005291552	6.88434407351	5.38231447753	1.55476864946	3.54311885532	0.788945351362	0.57157517009	3.53344892491	3.97147119963	4.8995472792	3.49856223145	15.3861143467	16.0927310746	1.04080654879	0.889230855272	1.37963550741	4.21570603421	5.96083763808	13.8901752897	13.0424194617	5.51122190878	118225454.378	207504.389214
7	0	None	None	11.652828132	9.94942142892	5.1549687607	2.7822940625	2.62228363368	0.424396335813	0.420842926783	4.17138655335	3.79647441073	3.460277486	3.93816667354	14.8138611599	15.7587519866	1.36176613393	1.08473510587	1.87047788217	8.4352391158	29.9110855891	18.6972317112	13.8345447558	1.61467346349	212015.254539
8	0	None	None	15.1266669188	9.0089268281	9.8364832785	1.86187448595	3.85630112605	0.0120330338164	0.346789899857	4.61612658342	3.9654910805	2.83663039246	3.10555430312	14.7490647846	18.9333722211	0.727932789144	0.161178774707	2.66716312997	6.53507200293	21.4718463257	25.733086835	15.0999832929	23.5696335314	17324949.6642	234810.915693
9	0	None	None	15.0157009318	8.59072342503	8.80651700132	1.57530205024	3.39817812119	0.541999271604	0.32339209979	3.41848584303	3.99316220202	3.97381090234	2.79531627649	15.5846428452	13.6244900245	0.681553246253	0.747941929223	1.66367653103	4.53184924245	24.3343889109	1.94696829816	27.1472081513	22.2938339305	87330.1317278	210956.024712
