id	generation	parent1	parent2	[in] input00	[in] input01	[in] input02	[in] input03	[in] input04	[in] input05	[in] input06	[in] input07	[in] input08	[in] input09	[in] input10	[in] input11	[in] input12	[in] input13	[in] input14	[in] input15	[in] input16	[in] input17	[in] input18	[in] input19	[in] input20	[min] weight	[max] energy
0	0	None	None	12.8803217982	6.3076621275	8.50754401036	2.66924632919	1.88654161608	0.929557894389	0.872322885455	2.6287488418	2.77677218934	3.72208720959	4.04447895236	15.7135148901	19.5790407368	1.00631098061	0.17018764783	4.36713782656	8.33168172561	19.1944588001	18.2383839707	11.468260197	18.5378522927	4157493082.94	225073.918007
1	0	None	None	17.5758038908	8.94503990485	5.98516913306	1.05947789196	3.25716471562	0.631965629292	0.499413677063	2.18748278907	2.1153808482	5.28931095022	4.31168765893	14.3075391339	18.3892788432	1.07259508221	1.13886529648	1.40978645739	4.39781363338	8.08872407725	3.08352129509	19.6154751812	1.14595479872	4157493082.94	225073.918007
2	0	None	None	19.8728801164	9.5544633639	8.02217212353	1.21779373954	1.89913599459	0.274850372515	0.879553598741	3.98133338574	3.32138436869	3.2787560601	4.47545300239	14.048802861	19.5613896425	0.407128175789	0.705815067594	1.02908260277	9.94396230646	24.5424044339	18.02893246	0.531059614976	19.7609273027	160980.271208	225795.262005
3	0	None	None	12.4474181958	6.80548163572	8.8817989971	1.64162633882	3.34755056931	0.196595165842	0.312517780968	3.01223512116	4.01500656535	2.59291025636	2.86556325062	13.7780794203	19.4231066953	0.376552641837	0.538412714815	4.25955932516	8.34630374348	5.95735021468	23.8012144663	16.7048452989	26.9605470033	422020.322948	234063.62309
4	0	None	None	17.2047316075	9.74195411779	5.51726921421	3.74331981017	1.1134601168	0.660989242492	0.122679807753	3.71995289552	3.17441984705	6.54796463525	5.41615865528	12.350913637	15.5686337643	1.02561883721	0.322214070047	2.9074009439	6.83463821587	18.5476583422	19.2917419071	14.3776313944	22.0212056788	363441.457517	206818.083812
5	0	None	None	16.6850994249	9.25188289036	6.47523195686	2.61399499434	1.79255063955	0.675010296516	0.451186668021	4.91368301058	3.71235673804	4.41796832724	2.96226506205	19.1865918957	10.7900601659	0.557602630286	0.887243731702	1.38842118577	7.93073828391	14.9775741327	8.93716286149	15.1008770134	6.53275021509	1757679581.86	215185.411468
6	0	None	None	16.5324168003	5.39623754242	6.31386247764	2.15885525579	3.33001234961	0.421793559014	0.532862452918	2.93847463665	2.13221389637	6.06008974514	2.44046637375	19.5941471772	16.9399416743	0.553399501672	1.2321924566	1.34927755571	4.63725495703	21.397952743	12.538223097	9.28030412575	15.4673238994	3373023677.82	204317.280099
7	0	None	None	13.5053126068	5.19329004013	9.69584556194	3.73561534918	1.9297362804	0.602860164558	0.632122214529	4.96505088193	2.29253295854	4.21635391553	2.97257984717	18.3879224969	16.8609693383	1.18215336824	0.465602029858	3.41566873511	6.63973040296	21.2834286756	14.6844267332	10.5268806825	23.0787178072	7004961812.26	212973.620565
8	0	None	None	12.6656712052	7.20408388423	6.66627955443	1.63584228509	2.04347597963	0.0590755407208	0.132744266046	2.80515259575	4.29758315543	2.97649537845	5.48626628931	14.6126456993	17.8336222217	0.681936426597	0.912893405261	4.16802290073	6.50754271265	8.00311276258	8.28557002396	5.02130515405	3.11157932265	712930361.402	236388.630073
9	0	None	None	17.1324401149	5.57496922146	8.50903185484	2.77612694411	2.07062257623	0.573502488895	0.556662177777	3.05937654512	3.04093629752	2.35911626609	2.26611908357	16.0314921711	17.2919800825	0.474940516161	0.0224151316894	3.37214594627	5.87080506674	4.84836241126	0.0291501180373	24.1516960547	20.2229324977	4516075577.76	200208.003263
10	0	None	None	17.7609631581	5.09111384157	5.30965346029	1.9280280205	2.53169265132	0.882547186013	0.526772274699	2.50825757158	2.49953664926	6.25563847725	2.58177617227	19.9901446355	17.8906919371	1.43067351637	0.652398288463	1.10245149028	5.25596951614	14.4292075618	8.85044952329	28.7983000577	2.540651524	4148129993.25	201930.971717
11	0	None	None	13.6093482804	6.69227794975	7.12670482221	3.82517186756	2.60753072984	0.621839124679	0.0215814858046	2.43569174373	3.4698033497	6.31783031915	3.34280873584	11.5707652271	19.1797014614	0.202449552102	0.0752974495019	3.57153757083	8.12575680357	18.8555508791	0.511832199986	3.26507766346	26.4218281011	6800689620.34	222014.352135
12	0	None	None	19.7114810238	5.86661775706	8.8812177499	2.37885205951	3.12935256805	0.622727196453	0.247621692174	2.94338356928	3.42092744307	2.13917867802	6.80520414108	18.9172773533	19.7770941029	1.44449666256	0.0321196840327	1.77246328486	5.86178172357	21.6085650674	5.23095102309	21.7436445043	0.845718674145	2641953071.59	235710.187585
13	0	None	None	16.4979017621	5.58478281294	6.49852068299	2.25716385886	2.48656118104	0.371752353161	0.89342498738	2.67055948091	3.66998699915	4.30204176153	5.01365679569	19.6192944313	19.0333835083	1.18755800462	0.703868384338	3.85731426251	6.16710537102	13.1203366046	21.8962619665	28.4718429651	14.8316124985	6234134109.95	235638.533853
14	0	None	None	16.6956674721	8.18785160436	8.09968170174	2.65392168837	3.58537082756	0.633677716774	0.0426427929575	3.03563574793	2.43971054098	3.92776427683	4.1927586825	12.4744886513	14.4290723293	1.4932752598	0.90388902309	1.8493813627	9.80826413445	3.11954181915	9.16786468195	29.1025067736	0.271926847315	3917562520.01	212159.362625
15	0	None	None	13.6636898842	9.48205532716	6.87448492429	3.67288931646	3.21329421579	0.241487841055	0.204510999739	3.96659282227	3.4479698304	3.47655900051	2.73001959282	18.2003576102	15.1709285758	0.828410994557	0.115521202514	2.81087527188	8.47626582121	15.007081313	15.3846543866	29.0825701129	5.9725306344	4774233659.93	227524.527561
16	0	None	None	13.328498461	5.3470644654	6.65249026554	3.35249391054	1.17207992051	0.200795834514	0.729484884705	3.51151947384	2.64434350197	5.6585256375	5.35649608627	15.4234009924	10.8242097554	0.576790771705	1.40529311139	4.73325217511	7.17241514662	5.77235886985	9.87189804577	2.19807820173	12.9595241264	1565382750.45	217371.601878
17	0	None	None	14.3366619276	9.49119150809	6.05132310138	3.70183104311	3.80495172376	0.280599446715	0.277810597597	4.01303243481	4.48198144096	3.05692610883	4.12998266645	19.0356636142	11.4932673902	0.477404698057	1.23639343339	3.90303772843	9.26581155652	26.613209595	16.017673263	28.0244447169	19.6667671533	185920.369679	231495.366021
18	0	None	None	17.142629697	5.09912057449	6.97074202346	3.65695815419	1.36587750768	0.339201687349	0.293083151117	3.49101910673	2.0624871211	6.61284369208	2.76406580916	12.3260437954	17.3057550004	0.434089237367	0.427767260917	1.61863490234	4.08239327433	0.369491128845	22.2106016197	5.70241107719	18.2488739975	3610699469.43	190664.35931
19	0	None	None	16.3605760144	7.84038773735	7.10783975177	1.92418842482	1.82876697958	0.261416583823	0.109173011588	4.71451315042	2.86779861969	2.71317548129	3.61419564881	12.3230400954	12.1565621924	1.32232999904	0.540078879217	3.67047045129	4.82608723322	26.2451547096	22.9285753103	7.03261504109	21.0980806231	174741.233914	203358.420126
20	0	None	None	14.5700025156	9.19919197811	5.953118529	2.06760103815	3.02974464921	0.708505641838	0.320541281062	3.61949176684	3.72472711335	4.99234908237	3.79522225694	12.6009247416	13.4930733737	1.43405560005	1.36797327	3.87025667754	4.32939828056	24.9694523054	15.75883041	24.4725315149	0.164660929568	5000284534.02	208469.050828
21	0	None	None	13.5286747688	5.62985622055	7.76358765804	2.92337214373	1.83443214204	0.912238432499	0.425018225438	3.3905232049	2.99426759163	2.19562430446	2.43994273798	18.1209768811	10.2343858318	1.43003919595	0.884778712779	4.13546877151	6.41512039057	12.6447802451	24.8939279661	10.6776423155	15.1851302733	6117247057.07	202162.974345
22	0	None	None	17.5444233455	5.97259269312	7.55217207048	3.16355588665	2.585301999	0.741336947043	0.145197210572	2.0361049056	3.22911953726	5.03628909851	2.53872795599	15.1108695551	14.4866701466	0.17184951365	0.606356902015	3.80913230706	5.83229735292	27.5143308549	0.568768597072	8.30031488465	10.2347483344	2744180317.95	204128.219642
23	0	None	None	18.5632702428	5.94373630509	8.44796867723	2.56936727212	3.48339334447	0.165304399508	0.888082676649	4.66759972349	4.35254696699	4.10784706765	3.41097509095	19.9381024532	12.3382064626	1.38288416689	0.978105012721	4.06073641602	7.08736248005	22.6915731235	18.1526441025	10.067036001	25.2238967391	13277652146.5	238500.543113
24	0	None	None	16.3019400269	7.95964320445	5.42587736488	1.93560197806	1.90800550681	0.0165600308482	0.666171137585	3.9412216766	4.69611871934	6.37653996372	2.53612066708	14.7036783926	18.1067565632	1.34523989222	0.117367314947	4.60293547432	7.99786771655	9.27095174791	2.19474643563	24.6136548466	4.16083173288	3735888155.89	238247.473912
25	0	None	None	10.328200641	7.41219098149	7.29101354177	3.10504664033	1.1893352892	0.397551520637	0.786394281561	2.45155587305	3.69141639117	6.77418379697	2.07595993435	13.2546120903	18.1740537879	0.47978999031	0.526629529885	2.41872226179	6.78740435126	29.2516181433	17.0596628447	28.6759677168	23.5218164021	196253.403957	207884.626047
26	0	None	None	16.4697068289	6.49203668686	5.87927743483	1.60640264899	2.88490292251	0.715485921567	0.0250574753213	4.09581628385	4.98360245883	3.98429822626	4.87266605901	14.0986904185	11.7207648064	1.09726089413	0.100417091005	3.87666529492	9.21351341937	1.80100167515	12.7280828518	18.4617131042	1.69596953943	1601253649.73	243447.658871
