id	generation	parent1	parent2	[in] input00	[in] input01	[in] input02	[in] input03	[in] input04	[in] input05	[in] input06	[in] input07	[in] input08	[in] input09	[in] input10	[in] input11	[in] input12	[in] input13	[in] input14	[in] input15	[in] input16	[in] input17	[in] input18	[in] input19	[in] input20	[min] goal
0	0	None	None	14.6856263397	9.9134770996	6.63527060799	3.17443657027	1.18817491807	0.819190148845	0.234566044437	4.47083068011	3.39357307424	5.6070932078	6.379110644	13.6798838822	14.439809756	0.526722395355	0.0632635349912	2.98964095277	9.18042998762	10.4259682241	7.0837259177	15.5851796433	11.0289087288	298891.565929
1	0	None	None	10.3256862062	5.0057738814	6.90515050785	3.28060591735	2.04347931704	0.574355981291	0.474089775009	4.93601104737	2.32142077799	5.45445150252	5.58058713241	15.2617386145	14.2249585134	0.557801850692	1.20571170099	4.13106521647	8.90488779909	6.38158944819	28.8217168092	22.1345430492	23.1824575103	59.8640265911
2	0	None	None	14.1844720855	6.42018783955	9.82977457067	2.70062494175	1.13296730065	0.180637124038	0.757251664168	4.17469210085	3.84478933915	3.81791366764	3.56219990004	14.045812759	11.2996418149	1.06704208038	1.48604653744	1.94950910904	4.6466297564	20.2977965122	14.1939174016	5.85438112567	21.8993027289	701417.441511
3	0	None	None	18.5661790523	8.93239995097	7.23706991911	3.38284881992	3.75635800417	0.848439393482	0.439524469053	3.14665296646	4.76121237121	2.35789750982	5.43402751099	18.9714190634	10.5316470108	0.762690205725	0.583968391207	4.95028024695	6.67296972195	27.2322679076	3.61378430322	23.195465411	23.8017844617	17.2444428526
4	0	None	None	14.9738117678	5.10687163602	5.06132754804	3.67020812343	2.52246499244	0.5709823285	0.69977413371	4.21532622664	2.2944486871	5.94874480452	4.81280811333	19.4250580773	19.122345088	0.303725196586	1.43749035002	4.01161386565	5.47499407721	24.9779329722	15.0471657393	19.9151263679	19.3643807493	25.5069435039
5	0	None	None	13.2945561004	5.00329834331	9.24895848591	3.71213693566	2.71966257586	0.808048638486	0.551645750974	4.50531897991	4.35505433521	4.38918622818	3.3243618033	13.4285882762	12.100303574	0.149446789974	1.10946512015	3.68381460312	4.70986754619	12.2077767377	24.0371077472	13.7367265002	4.62815540342	617264.592849
6	0	None	None	14.3322485062	9.8787290389	9.26844947742	3.33455772878	3.52926693125	0.935815531055	0.417043785364	2.85967264724	4.07504349348	3.09196528729	6.28144308941	19.0679113043	18.0415842559	0.213104264835	1.47960809707	2.95548309229	6.25985310518	7.42303779751	27.9141996981	23.2130690074	26.8784638891	2483354.52806
7	0	None	None	13.8045394004	9.72441688911	6.12663720354	2.01805194907	1.1754053073	0.71366652956	0.276922686228	2.63376453327	3.73252681988	3.44152003371	2.83772998638	16.6799046648	10.0162612166	0.524359704981	1.07976498931	3.79522844826	6.79728029247	25.4818723093	25.7609730319	18.9436678116	8.39806069338	1123450.01165
8	0	None	None	15.6985206501	5.84444534652	8.48558892161	3.79856992262	3.77699760976	0.431596469256	0.82817636038	4.67509085129	2.83006860513	5.76922466138	6.52943940931	16.4637211047	16.0402939173	1.35148899403	0.224577061486	4.36309627214	5.40379857943	4.93523174953	5.72248015538	20.5813818825	6.77338884069	303170.502448
9	0	None	None	14.7872839303	7.98216393553	6.42276448469	3.57445170332	1.30717863767	0.543524393161	0.706110039323	2.33327249594	4.09712854231	2.23064596304	2.50407072921	11.8472417221	14.8548128633	0.144165908123	0.869684855115	4.62442222254	7.131312617	15.0844633723	23.3302941976	22.8266854846	0.505890428551	924603.938242
10	0	None	None	16.2447391355	7.05035727504	6.71820562377	3.35575430819	2.76453307657	0.359666195859	0.655189546342	2.75728704178	4.22058382872	6.6721010037	5.48693742448	13.6558823186	13.3404541004	1.26712457851	1.13308522887	3.21743461975	7.05470275915	23.6527597687	27.3749798131	8.2511578564	13.4535712326	27.5628248619
11	0	None	None	13.9558769696	6.72283233576	5.42807069296	1.03140421959	2.69981802103	0.109455175019	0.375994282386	3.48545913308	3.98761745316	6.16331976982	4.93120161372	16.8603541882	16.3600439184	0.856842240776	1.4038504787	2.23534845935	7.94893181063	5.40697732765	3.33863001271	23.7301712165	29.4415432031	1420456.08181
12	0	None	None	10.9752863002	5.95785529842	9.40098112395	2.85319424138	1.66122129985	0.886892136993	0.700651135478	3.96123076454	3.29578518508	4.93119462464	3.33617533397	19.366317371	19.5855375684	0.0242478455155	1.08100235181	3.02065568392	5.67553875424	19.3919120134	1.24817838497	14.2839173016	23.8231438037	818866.689716
13	0	None	None	19.2623999751	9.91005948964	8.79772369918	3.69382189576	3.47337104326	0.300451014615	0.111727564354	3.51572613046	4.24406749313	5.66963899152	5.66669757162	18.3280723564	18.5378396365	0.828266170965	0.0542312483064	2.50032152912	8.60466963082	15.9135351408	8.39794616418	21.2848468701	6.23523969727	310950.25199
14	0	None	None	17.6461122784	7.3937220851	5.85888885476	3.168252597	3.38105612509	0.126162398519	0.571564029928	4.79537631665	2.72421077813	5.49850402847	6.20229611593	17.3933660882	16.8392002864	0.757108761231	0.847286360431	2.17207864403	5.2259033878	19.880885037	6.08102543003	8.13560178125	19.9176655846	574066.608172
