id	generation	parent1	parent2	[in] input00	[in] input01	[in] input02	[in] input03	[in] input04	[in] input05	[in] input06	[in] input07	[in] input08	[in] input09	[in] input10	[in] input11	[in] input12	[in] input13	[in] input14	[in] input15	[in] input16	[in] input17	[in] input18	[in] input19	[in] input20	[min] weight
0	0	None	None	18.5928460231	5.69274784833	6.6706339123	3.86313961696	2.78969891687	0.960160035064	0.442836180824	2.86305297003	4.89177484282	5.24289587023	4.85352962404	12.24782914	16.3151074398	0.629463849143	0.682816747561	1.53970999089	7.60123762296	12.9559672343	26.9013735351	16.2913608724	28.9567276368	187535546.487
1	0	None	None	10.0462312476	9.89017924102	9.40034205773	3.02699843154	1.10313155186	0.663606468717	0.997513303103	3.55024004609	2.13323965342	5.7674820538	6.89271735971	14.4499358102	19.0854790274	1.03283915024	0.393018386845	2.89077970843	7.94159639528	0.548638757269	26.8113952726	8.98429730439	10.364971214	236692869.909
2	0	None	None	11.5011858704	6.44668351698	9.45545302104	2.83593912175	1.48840024824	0.541861357196	0.18860594073	2.63765212429	4.00308616651	3.55809389718	5.8181842486	14.8121340005	13.6597465433	0.181858088676	1.41579978178	4.06953096671	7.73917546697	2.43785276577	2.90492420615	7.14607276479	16.2384749611	100473894.91
3	0	None	None	11.3796691592	9.28877953038	7.59398176588	2.46057683165	1.2370325287	0.344515550135	0.0209820287564	4.86412906273	3.5566629263	4.03842706634	6.52372317161	10.1626079145	16.1819500019	0.818648481173	0.0916154188657	2.95954499381	6.53288600379	17.1456843864	8.27423523137	20.5171066507	27.8082383534	39021684.8577
4	0	None	None	11.5773654006	9.11981666592	6.00069193838	1.12663497507	2.70480803811	0.873703869583	0.379223802722	3.97405971709	2.31565668445	6.08080525607	2.78813824681	10.6676937256	16.8708351099	1.38716948168	0.484940787478	3.82797878915	4.23407717816	26.1872567212	16.0631174173	24.8708041763	13.9283826463	6425012.15576
5	0	None	None	14.6303129646	6.72740971532	7.00839019327	1.22123499979	2.12764194125	0.717943890551	0.269339478499	4.96458651092	2.76144672113	6.0922153329	5.40082800426	19.7523931349	16.7076737287	0.372227412903	0.914027554745	4.3256534636	9.83920246732	9.37305291064	22.5822440331	28.1196477065	14.1226042254	268730088.406
6	0	None	None	18.1737204726	8.58052813646	9.73944657766	3.87507889471	2.84336672258	0.192492184456	0.79689173664	3.41344103757	4.02396507833	2.86370748729	5.71491244508	10.6998058822	17.3982606332	0.187358857657	0.52946363909	4.06278269122	8.18306654678	22.8226781369	29.0137860157	9.1705050669	20.1241914519	10195632.6505
7	0	None	None	15.6105310615	9.89134167564	9.27845350369	2.91664632827	1.70251377236	0.434955003152	0.131334618658	3.28297682645	2.73175845574	4.72834466137	2.28866554113	18.7340734341	10.2132009506	0.89960788621	0.620241298075	4.63756274359	8.31860083588	29.1071209344	27.5345842195	1.76557760148	19.612303175	7363539.13481
8	0	None	None	14.0427868192	5.17593935724	5.76337078041	3.17651986129	2.87045190029	0.309335941525	0.69523188718	3.63622522594	4.9934754666	6.69191137598	2.89052453152	15.7828053502	15.3066702969	0.275887712294	1.32615623328	4.61507476067	4.04972358242	5.62839197614	1.87495514762	0.596603549902	0.575833637071	136229130.486
9	0	None	None	17.2241093406	8.69488234059	7.73226158641	2.88188458886	2.12212302369	0.705995307865	0.340093748829	3.5329790574	3.03509032919	5.60721682445	3.62354199954	17.0442542471	19.5833080034	1.34108681072	1.14573078525	2.58071185312	5.28530486413	5.51049232641	25.0583722201	13.8794591053	16.1832027511	117628464.078
10	0	None	None	14.6990209475	5.1230343383	6.57702576263	1.89492686244	2.4088262017	0.753007737245	0.559174764858	2.59189524542	3.28666512066	2.64832453688	6.22426104921	17.6631482786	13.9263734986	0.451783947505	0.0641718006461	3.15893101154	5.44073741549	0.858218637996	10.4266374284	12.2435464814	2.91724556339	113930109.774
11	0	None	None	19.543606404	6.75591082008	5.22330400435	1.68940743717	1.67768631752	0.798591340305	0.645623416071	3.04585248093	3.9197693847	4.44986937324	6.90887956922	17.3222370685	17.1587763431	1.38755513962	0.756492614024	2.56123072217	5.38562029816	0.169008005874	20.0752042764	16.7429404019	12.4008330263	121459959.715
12	0	None	None	11.2432238006	5.86025738619	8.04813198441	2.83426844202	1.36300920624	0.29238983326	0.74970766485	2.0899992708	4.0345754268	5.33046023415	4.85854046779	10.3466833277	10.0722096739	1.48242402739	1.09797925017	3.08783369659	9.53363710215	14.7548278039	7.68591900649	7.45974807686	4.34674687012	929785.652714
13	0	None	None	15.4511100846	6.15991722472	8.97621878996	3.50962781473	1.16914276187	0.244940127595	0.255131111939	4.9028354054	4.42071525559	2.25615855686	4.67425374778	10.6054787108	12.315838948	0.108461248426	0.322464178097	4.73814125915	9.56537008679	21.9311419933	12.6824517375	15.3148079333	14.4543920202	4302344.71455
